,Text,Emotions
36,"Bravo Nathalie for your amazing efforts 🙏🏽🙏🏽🙇🏼‍♀️💐
You sure can 
#ScoreForSoil 
#WorldCup 
#WorldCup2022 
#WorldcupQatar2022 
#FIFAWorldCup 
#FIFAWorldCupQatar2022 
#FIFA 
#SaveSoil
#ConsciousPlanet 
https://t.co/QRraCq5uOn https://t.co/wFN7LX9H5r","['admiration', 'gratitude']"
37,"Boyle World Cup Final
Argentina v France

Pick Offer +Bet £10 Get £20
1. Argentina Win BTTS &amp; Messi to score First @ 16/1
https://t.co/h3JmrCr55S

2. France Win BTTS &amp; Mbappe to score first @ 18/1
https://t.co/fUjhCMF6yc
.
18+T&amp;Cs GambleAwear
#WorldCup2022 #ARGFRA #ARG #FRA.- https://t.co/DACX4gDkIk","['confusion', 'excitement', 'pride', 'surprise']"
38,"The GOAT debate will end tomorrow.

When Varane wins his 2nd World Cup after having 4 UCLs no one comes close to him.

#WorldCup2022 #ArgentinaVsFrance https://t.co/HSbby44UpP","['approval', 'optimism']"
39,"Love the mood and your beautiful rhythm 🙏🏽🙏🏽
You sure can 
#ScoreForSoil 
#WorldCup 
#WorldCup2022 
#WorldcupQatar2022 
#FIFAWorldCup 
#FIFAWorldCupQatar2022 
#FIFA 
#SaveSoil
#ConsciousPlanet 
https://t.co/QRraCq5uOn https://t.co/01pqIJbAtj","['admiration', 'love']"
40,"#Morocco football star Hakim Ziyech gives every penny of his salary to team staff and poor families. 🇲🇦
He has also donated money to amateur football clubs and hospitals in Morocco. Such an example for the Ummah.
#Morocco
#WorldCup2022 https://t.co/sHjQJGIBPk",['admiration']
41,"Congratulations to Lionel Messi for winning the FIFA World Cup 2022, Golden boot, Ballon D’Or 2023, &amp; the US presidential elections 2024.

Yours truly,
A superstitious Real Madrid fan. And a hopeful Drake curse!

#GotEm #Cristiano🐐 #LionelMessiFifasFavouritePet #WorldCup2022","['admiration', 'gratitude']"
42,Messi does not owe a World Cup to Argentina. Football owes a World Cup to Messi. #WorldCup2022 #Messi,['disapproval']
43,Andrew Tate Calls Out Harry And Megan Over Nexflix Documentary. #USA #America #MeghanandHarryNetflix #WorldCup2022 #British https://t.co/yV0WY5eJVm via @YouTube,"['anger', 'annoyance']"
44,"What do you think this is my little boy's industry 🤔?

#Vikings #KirkCousins #SKOL       #JeffSaturday #Rihanna
#Vikings #Colts #TheFBI #Gene #qatar2022          #ElonMusk #Messi #Mbappe #USA    #Messi𓃵 #Morocco #WorldCup2022 #其要位實點善只用定 https://t.co/jCTnErO6md","['confusion', 'curiosity']"
45,Congratulations to #France  Buhari and drake has done their wonders to Argentina #WorldCup2022 https://t.co/js8AsplvfK,"['gratitude', 'joy']"
46,"Fantastic Achievement, Salute, Respect and Much Love 😍😍😍😍

Congratulations. Dima Maghrib 🔥🔥👏👏

#Morocco #AtlasLions #Croatia #Morocco #CROMAR #FIFAWorldCup #WorldCup #WorldCup2022 #Qatar #Qatar22 #Qatar2022 #TheScoreKE #PhotoOfTheDay #MamuSays #KeepSmiling https://t.co/fvCeCE8azV","['admiration', 'gratitude', 'love']"
47,"Winning A World Cup Is A Different Thing. But Capturing The Hearts Of People Is Profound. Morocco Have Won Million &amp; Trillion Of Hearts. Thank You 🙏🙏🙏🙏
#Morocco #AtlasLions #Cromar #Morocco #FIFAWorldCup #WorldCup #WorldCup2022 #Qatar #Qatar22 #Qatar2022 #PhotoOfTheDay https://t.co/8yvHhKCpG7",['gratitude']
48,Tomorrow’s #WorldCup2022 final is going to be 🔥🔥🔥🔥🔥,"['excitement', 'optimism']"
49,"#WorldCup2022 : proud that great mezzo-soprano Farah El Dibany,  first great voice of Egypt to join Paris Opera, has been chosen by the 🇲🇫 team to sing the #Marseillaise before the Final. #AllezLesBleus !💙⭐️🤍⭐️❤⭐️ @farrah_diba2 @operadeparis @KMbappe @FFF https://t.co/aUCyBgg8vp","['excitement', 'pride']"
50,"Congratulations #Morocco 🇲🇦🇲🇦🇲🇦🇲🇦 for finishing Fourth; Highest position achieved by an African Nation in the HISTORY of #FIFAWorldCup!!!

Victory is not always punctual BUT, eventually it comes. 2026 will be better for Africa.

#AtlasLions #WorldCup2022
#CROMAR #QatarWorldCup https://t.co/mCj5YF7FOi","['excitement', 'gratitude', 'pride']"
51,"As much as I loved the French team to win, I'm rooting for Argentina this time for the sake of the legendary Lionel Messi, who has won just about everything in soccer except a World Cup title. 
#VivaMessi #WorldCup2022 #Mbappe #football",['love']
52,Audrey Wanda #世界杯 Victoria #WorldCup2022 Strawberry https://t.co/D2S28JFE3q,"['approval', 'embarrassment']"
53,Props to Morocco they actually did their thing #worldcup2022,"['admiration', 'gratitude', 'pride']"
54,@mellziland And sorry about #WorldCup2022!,"['remorse', 'sadness']"
55,"Proud of you 👏🇲🇦 Atlas Lions 🦁

#Maroc  #Marocco  #Morocco #AtlasLions  #DimaMaghrib  #WorldCup  #WorldCup2022  #QatarWorldCup https://t.co/bCtNBlXsDz","['excitement', 'pride']"
56,Moroccan right now #Morocco #WorldCup #WorldCup2022 https://t.co/KvMvOt14U4,"['annoyance', 'approval']"
57,My predictions for the World Cup 2022. Create yours now to join the tournament and get a chance to win big prizes! https://t.co/kewH6tyBpD #WorldCup2022 #WorldCup https://t.co/paI8ZuZW9k,"['excitement', 'joy', 'pride']"
58,"Lionel Messi will be lifting the world cup today. You saw it here first 
#Messi𓃵
#FIFAWorldCup #WorldCup2022","['excitement', 'surprise']"
59,"Argentina 🇦🇷 came close in 2014, France 🇫🇷 won in 2018. 

How will 2022 end?

#HotSpotQatar #FIFAWorldCup #QatarWorldCup2022 #WorldCup #WorldCup2022 https://t.co/XKuwNuFMip","['confusion', 'curiosity']"
60,"European teams planned to highlight inclusivity on #WorldCup2022 with the 𝗢𝗻𝗲 𝗟𝗼𝘃𝗲 𝗖𝗮𝗺𝗽𝗮𝗶𝗴𝗻 🏳️‍🌈

@FIFAcom silenced it threatening to hand out a yellow card to any captain in violation of the uniform rules…
#WorldCup #WorldcupQatar2022 

https://t.co/4fqUIZrK7R",['fear']
61,"Thank you MOROCCO, you made us all PROUD ✌️✌️
#Palestine 🇵🇸❤️🇲🇦 #Moorocco #WorldCup2022 🏆 https://t.co/sFi7dzQLtL","['excitement', 'gratitude', 'pride']"
62,Watch: Enjoy a master class in goal scoring. https://t.co/qyKqQPo4YX #WorldCup2022,['joy']
63,"⚽️The #WorldCup Final is TOMORROW🎉
Here are the current odds.⤵️
What’s your lock? 🔐 

#france #argentina #fifaworldcup #worldcup2022 #soccer #futbol #betting #odds #moneylines #sportsbook #sportsbetting #gambling #sportsgambling #gamblingtwitter https://t.co/leJ2wOsFST","['confusion', 'curiosity']"
64,Bound Kyle #世界杯 Willa #WorldCup2022 Timothy https://t.co/bfbkppdOmP,['joy']
65,"Soccer expert and ESPN personality, Holly Seymour joins OJ to breakdown the final match of the World Cup!

@GamedayOhJ @xoholly #WorldCup2022 
Full Video➡️https://t.co/rEvY3wuAqY https://t.co/k3FnL47xQ9","['excitement', 'realization']"
66,"some of us tomorrow will be like:
#CoDMobile #CodmChamps2022 #WorldCup2022 #WorldcupQatar2022 https://t.co/7GvBeJ511x","['confusion', 'optimism']"
67,The day we are all waiting for is here! #StrictlyFinal #WorldCup2022 https://t.co/tOAk0sXxNL,"['joy', 'realization', 'relief']"
68,Who ya got winning this year??🔥🔥🔥 #LionelMessi #KylianMbappe #ArgentinaVsFrance #WorldCup2022 https://t.co/VU1YR0cFw8,"['confusion', 'curiosity']"
69,"BRAZIL VS ITALY were the 2 teams that played in the 1994 #WorldCup final @ Rose Bowl in Pasadena, California. After a scoreless tie in regulation &amp; overtime, Brazil won their 4th World Cup by defeating Italy in penalty kicks 3 - 2. End of #WorldCup2022 tmr at 10am EST. Kindly RT! https://t.co/hl3WHZuuZy","['excitement', 'joy', 'pride']"
70,"Thank you Moroccan Team what a great energy what a super career what moments... Going speechless ~ thank you Lions 🦁 Very Proud 🇲🇦💪
#Morocco #maroc #WorldCup2022 #WorldCupFinal https://t.co/IuKpQFNQyr","['admiration', 'gratitude']"
71,"Mating season,  searching for a female 😆
#camel #desert
#ArabianPeninsula #Saudi #America #fear #death #其要位實點善只用定 #المغرب_كرواتيا #WorldCup2022 #فرنسا_الارجنتين https://t.co/eWaRHNj5CF","['disgust', 'fear', 'grief', 'nervousness']"
72,"If Messi wins, he continues Argentina's World Cup legacy of Mario (Kempes) and Maradona.

If Mbappé wins, he becomes this generation's Pelé winning back to back World Cups.

Great storylines.

#WorldCup #WorldCup2022 #CopaMundial #CopaMundialFIFA #CopaDoMundoFIFA #Messi𓃵 #Mbappe https://t.co/CFg2mmYpFx","['admiration', 'pride']"
73,"Durdanto! Fantastic! Fantastico! 

The Heart of a Bengali! 

Thanks @MasalaBai 

#WorldCup2022 https://t.co/WPv7H7uGkh","['admiration', 'gratitude']"
74,"I predicted Argentina 🇦🇷 will beat France 🇫🇷 in the 2022 World Cup final.
Play @AJEnglish’s #WorldCup2022 AI predictor game.
https://t.co/vye6TIg0fs","['approval', 'excitement', 'optimism']"
75,My kids are pretty excited about #ArgentinaVsFrance #WorldCup2022 tomorrow. ✅ 3D printed cup ✅ Empanadas ✅Alfajores and now working on chocolate croissants 🥐 https://t.co/Ml25ugraY0,"['excitement', 'joy']"
76,"This is why Ronaldo is the best player in history🧠🐐👑

#CristianoRonaldo #Ronaldo #GOAT𓃵 #CR7𓃵 #MUFC #RealMadrid #Messi
#WorldCup2022 
#كريستيانو #رونالدو #ريال_مدريد #ميسي https://t.co/lvR1gc70zU","['admiration', 'realization']"
77,This is the pizza box I got tonight… huge problem! #France #WorldCup2022 #really https://t.co/i2rafunKXf,"['disappointment', 'sadness']"
78,"I just predicted on Argentina on https://t.co/0pgWal3FNf, come predict the FIFA World Cup 2022 with me! #prosperWCevent #worldcup2022 #Prosper #predictions","['approval', 'confusion', 'realization']"
79,Who do you think is going win tomorrow? #WorldCup2022,"['confusion', 'curiosity']"
80,"➡️Tactical Analysis: #WorldCup2022 Semi-Finals

➡️ Argentina 3-0 Croatia : Thanks Hrvatska golden generation !!

➡️ Cooperating with my friends: @Mina_Edwar @Rush1_Analytics 

https://t.co/Drc4uFF3fp",['gratitude']
81,Whats the point of france winning if this aint gonna happen??? #WorldCup2022 https://t.co/b2XFhVUYfG,"['confusion', 'curiosity']"
82,"#HRV vs #MAR 

It's been a pleasure watching Luka Modric 🥰🤩❣️♥️ in World Cups 😍
 
#FIFAWorldCup #WorldCup #Qatar2022 #WorldCup2022 #WCNow #MoroccovsCroatia #Croatia #CroatiaWin #LukaModrić #lukamodric https://t.co/Jusw5uGkvt",['joy']
83,"So Croatia are officially the third best team at the #WorldCup and well done to them.

For the third best (at best) match review of the game find your way to the Gurgler’s match centre below.

#WorldCup2022 

https://t.co/Uj8mKLuHzS","['admiration', 'pride']"
84,"@Saudi_Gazette Argentina 2 - 1 France
FIFA World Cup Champion 2022 - Argentina
#WorldCup2022","['admiration', 'excitement', 'pride']"
85,"@YRP This is like going #WorldCup2022 VAR...""that was definitely over the line""....""Yes VAR confirms and it Looks like there's a second call coming""...""Yes it's a Red Card on that expired license""... ""Absolutely no license..red card every time""....",['approval']
86,"God knows our prayers for you today... Many are praying for you... Cause so many people actually wanna see you win.... So no matter the results in a few hours... Leo Messi.. You are damn G.O.A.T.E.D.... FOR LIFEEEEEEE🥳🥳🥳🥳🔥🔥
#Messi
#Argentina
#WorldCup2022 https://t.co/WyrkUtXaGL",['caring']
87,"more info 😉😉

0033 7 45 73 05 77

IPTV 1 year 35$ 
IPTV 12 mois 35euro 

Colts Matt Ryan Jeff Saturday #SKOL Kirk Cousins #INDvsMIN Travis Hunter Dansby #CelebrationBowl Reagor Dalvin Cook #WorldCup2022 #FIFAWorldCup #FRAARG #Messi Jackson State Vikes P-22 Deion Top G Gilmore https://t.co/0Mtq9zpETw","['approval', 'excitement', 'joy']"
88,"Dear Messi
The World &amp; The Cup both will feel incomplete if it can not celebrate with you…Me being a huge fan &amp; a supporter of France wants to see the World Cup to be touched by you…Take love from Bangladesh…#WorldCup2022 #worldcup #final #france #argentina #Messi #g_dhonnobad https://t.co/FxTBMnpH2F","['caring', 'desire', 'love']"
89,Messi - Will Sunday be the end to his World Cup drought? #fifa #fifaworldcup #worldcup #football #soccer #messi #ronaldo #futbol #worldcup2022 #cr #futebol #france #qatar #easportsfifa #argentina #qatar2022 #fff #qatarworldcup #calcio #croatia #copadomundo #brazil #mbappe l https://t.co/GVizmsryjS,"['confusion', 'curiosity']"
90,I Hope Argentina wins seeing as how Drake has bet on them to win.. #WorldCup2022,['optimism']
91,⁉️ Who will win the #WorldCup2022 #Qatar2022? 🤔,"['confusion', 'curiosity']"
92,Highlighting GBLT in Sport #hockeyromance #ebook #gayromance #worldcup2022 https://t.co/LiWZZzXzoV https://t.co/qMOu3RPNpE,['confusion']
93,"Hoping that #Messi and @KMbappe trade shirts tomorrow, regardless of outcome. 

Would be an iconic end to a historic #WorldCup2022.","['desire', 'excitement', 'optimism']"
94,Here’s hoping the air con breaks down for the #WorldCup2022 final #ArgentinaVsFrance and no I won’t be watching. Can’t stand either.,"['disapproval', 'optimism']"
95,"#HRV vs #MAR 

Brazil 🇧🇷  in 1️⃣9️⃣7️⃣8️⃣ are the last non-European side to finish third at a World Cup. 
 
#FIFAWorldCup #WorldCup #Qatar2022 #WorldCup2022 #WCNow #MoroccovsCroatia #Croatia #CroatiaWin https://t.co/4NTr6xnvRn","['excitement', 'pride', 'surprise']"
96,"How can i sleep tonight when Leo will play do or die match tomorrow...
#ArgentinaVsFrance 
#WorldCup2022 
#Messi 
#Messi𓃵","['confusion', 'curiosity']"
97,#WorldCup2022 Fiffa suppose regard Yasin bono appropriately oohh. He was super solid for the MOROCCAN TEAM🇲🇦 https://t.co/kJ7A1KEr1N,"['admiration', 'confusion']"
98,@coyso_stephen @FootySuperTips Either way it will be a cracking final for sure. #WorldCup2022,['excitement']
99,You don't see them like that anymore. Today's players lie down at the slightest thing and pretend to be dead to get a penalty kick. #WorldCup2022 https://t.co/iB3ySjiNQX,"['anger', 'annoyance', 'disapproval', 'disgust', 'grief']"
100,"On this Qatar National Day, we praise this country's greatness that has prompted increased degrees of opportunities and potential open doors for businesses.

#Qatar2022 #qatarnationalday2022 #WorldCup2022 #qatar #nationalday #qatarbusiness #ERP #erpsoftware #corporate #B2B https://t.co/4Y2h7aQfxE","['admiration', 'pride']"
101,"Open 11-9 PM

#Pokemon @ 12
#ONEPIECE    @ 3
#YuGiOH @ 6
#dungeonsanddragons@ 7

Also available: Online +TCGPlayer +eBay

#powerwordgame #losangeles #picounion #koreatown #DIGIMON #Naruto #DragonBallSuper #WorldCup2022 #MagicTheGathering #CHAINSAWMAN",['approval']
102,"Nothing to say🤫🤫🤫🤫🤫
Proud of our players 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦
#DimaMaghrib
#WorldCup2022
#FIFAWorldCup https://t.co/FxUIIEDfqb",['pride']
103,"Lionel Messi is not becoming Diego Maradona – he is becoming himself
#المونديال #ميسي
#WorldCup2022 #GOAT https://t.co/ODBPMh7RN9",['disapproval']
104,"Just got through the 2022 World Cup on my current save. 

Anybody want to take a wild guess at who won it?! #WorldCup2022 #FM23",['curiosity']
105,"Hello Folks. We are live at Doha, #Qatar to watch the final matches of the  World Cup. it's wonderful to meet up with my brother, Amaju Pinnick. Gallant fight by Morocco. Congrats to Croatia for a hard-fought Bronze medal. We move on to the finals. #WorldCup2022 #ObiDatti202t https://t.co/6u6MWd0tnk","['excitement', 'gratitude', 'joy']"
106,"#HRV vs #MAR 

Machine at 3️⃣7️⃣ 👊
 
#FIFAWorldCup #WorldCup #Qatar2022 #WorldCup2022 #WCNow #CroatiaVSMorocco #MoroccovsCroatia #Croatia https://t.co/YOkjmG4txU",['approval']
107,Who do you think will be the champion? #WorldCup2022 #argantine #France ? #Messi or #Mbappe ? Which one?,"['confusion', 'curiosity']"
108,#WorldCup2022 Who you got?,['curiosity']
109,"At least I was bang on with one.

#WorldCup2022 https://t.co/fNrCMopaHY https://t.co/Ve8R8NOUAL","['approval', 'relief']"
110,"Mbappe Lokan Lola
Mbappe is Next on the Throne 
2nd World Cup in the bag 
#FRAARG #WorldCup2022 #WorldcupQatar2022 https://t.co/u9LQEQcHxB","['excitement', 'pride']"
111,Thanks @8bitfootball for allowing us to show your art in our museum . #football #WorldCup2022 #messi https://t.co/aIEcVaIbuJ,['gratitude']
112,"@visitoman_vo It would be an honour to be chosen to experience the beauty of Oman. I would love to sample the sights, cuisine and culture of a place that looks so magical on the photos and videos I have seen #HalfTimeForOman #WorldCup2022","['joy', 'love']"
113,Gn folks! Tomorrow is finals day! #WorldCup2022 #Qatar2022,"['excitement', 'joy']"
114,#WorldCup2022 Everyoe is pitching #Messi against Mbappé when actually it’s @AntoGriezmann pulling all the strings for Les Blues 🇫🇷,"['annoyance', 'approval']"
115,"DegenCronosApes minting soon on #Cronos for 39 #Cro 🐵

Get in the DCA discord and guess the right score in the #WorldCup2022 final to win a mintpass 🐵

Want a #NewNFTProfilePic ?
Get yourself a DCA as your new pfp and be apart of the #DCA 🐵

Poker tomorrow in discord, 10 cro🐵 https://t.co/h75Obov8Gd","['curiosity', 'desire']"
116,Who ya got tomorrow? #WorldCup2022,['curiosity']
117,"🇦🇷🇫🇷 Warming up for the big occasion… 

#WorldCup2022 #Messi #Mbappe https://t.co/pcIGoQeC60",[]
118,Croatia wins the bronze in a hard tilt manner over Morocco at the 2022 World Cup **HIGHLIGHTS AS WELL** #bronze #croatia #morocco #Soccer #WorldCup2022 #football https://t.co/WnZqr4VlDE https://t.co/KoO0LIH0kF,"['approval', 'excitement', 'pride', 'realization']"
119,Just for sentimental reasons I woukd like to see ARGENTINA triumph over FRANCE so that 35yo Lionel Messi can have it all! (Or will 23yo Kylian Mbappe spoil the party and win his 2nd WORLD CUP Medal?) #WorldCup2022 #QatarWorldCup #FIFAWorldCup #LionelMessi𓃵 #KylianMbappe https://t.co/9Hw3WR8QUw,"['curiosity', 'desire', 'joy']"
120,"Watch car mechanic scamer in UK

#FIFAWorldCup   
#WorldCup2022
#WorldcupQatar2022
#Qatargate
#QatarAirways   
#QatarPorTvAztecaGuate
#Ukraine
#UkraineWar
#Ukraine️
#Ukrainian
#russiaisateroriststate
#RussiaIsATerroristState
#Rusia
 https://t.co/kZycsvjnQp",['approval']
121,"An actual picture of #Messi if he wins the #WorldCup2022 

#ArgentinaVsFrance #WorldCupFinal #GOAT𓃵 https://t.co/sIm1GM70is","['confusion', 'optimism']"
122,"4th Morocco 🇲🇦 
3rd Croatia 🇭🇷 
2nd  Argentina 🇦🇷 
1st France 🇫🇷 🏆

#WorldCup2022",['annoyance']
123,"High Heel Pumps
19% off code: ZFTW18 @zaful_official 
SHOP&gt;&gt;https://t.co/Ljdu0BBnF8

#WorldCup #WorldCup2022 #UFC280 #taksim #Yellowstone #RHOM  #PriyanKit   #YetToCome #andTEAM   #taksim #XRPayNet  #BiggBoss16 #BB16 #BSC #Cowboys #WhiteLotus #Bengals https://t.co/z4My3aYWU1",['confusion']
124,They deserved the biggest and best win but FIFA has a different opinion 💔🇲🇦 🇸🇾#المغرب_كرواتيا #WorldcupQatar2022 #WorldCup2022 #كاس_العالم_FIFA #DimaMaghrib https://t.co/x65LjY7uAh,"['approval', 'disappointment']"
125,Independent of the fact that talented and overwhelmed career he had.. I’m for France.. Somehow I cannot overcome about their behavior against Netherlands.. #WorldCup2022 #FinalWorldcup https://t.co/TmnIHKp0v6,['admiration']
126,"😎The third episode of the Muftah live program. This episode was the best in terms of production, and I hope you like it.
https://t.co/E6JD4hWsQm
#TrendingNow  #YouTube  #WorldCup2022  #KEY https://t.co/TfAJBqs28S","['admiration', 'optimism']"
127,"#Argentina #WorldCup2022 😂😂 Messi in all languages, but they did not succeed in Arabic https://t.co/X4qUpBZyfp","['disappointment', 'disapproval']"
128,"Unpopular opinion. Even though Messi is an amazing player, I hope France wins. 

#WorldCup2022","['admiration', 'optimism']"
129,"Its not love for @Cristiano 
People just hate messi.

In in life even though you do your job well and stay humble people will still hate u.
So live for ur self and not to please anyone
#WorldcupQatar2022 #FIFAWorldCup #argvsfra #ArgentinaVsFrance #Messi𓃵 #WorldCup2022",['caring']
130,"I can’t imagine how Paris is going to be tomorrow for the finals. I’m excited and nervous and stressed for Mbappe and Messi and for myself too, like ik people here be wildin’ whether France wins or not 😮‍💨 #WorldCup2022","['excitement', 'fear', 'nervousness']"
